x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89639.75808386834,43124.42276617543,0.0,0.0,0.0,0.9878887182426553,0.15516404341497259,8.33333333333333
89639.31551212298,43124.56530890903,0.0,0.0,0.0,0.983296326899181,0.18201190484849875,8.33333333333333
89638.87300011059,43124.73494246178,0.0,0.0,0.0,0.9747460951721849,0.22331603154851593,8.33333333333333
89638.43026690025,43124.94904193359,0.0,0.0,0.0,0.9633106718391229,0.26838880289769496,8.33333333333333
89637.98635345646,43125.21721695438,0.0,0.0,0.0,0.9524971823869814,0.3045473978625682,8.33333333333333
89637.54000727469,43125.535144665,0.0,0.0,0.0,0.9449916964675931,0.3270943191302783,8.33333333333333
89637.09098966874,43125.888296550576,0.0,0.0,0.0,0.9409156997983916,0.33864088039234574,8.33333333333333
89636.64035716065,43126.260935642335,0.0,0.0,0.0,0.9392291524074465,0.34329083772799657,8.33333333333333
89636.18926568501,43126.64153052177,0.0,0.0,0.0,0.9279514325010134,0.3727011388757983,8.33333333333333
89635.76437582573,43127.04848162232,0.0,0.0,0.0,0.9181595071948382,0.3962109530890482,8.33333333333333
89635.36405943462,43127.4730351877,0.0,0.0,0.0,0.9091773299424887,0.4164091530197758,8.33333333333333
89634.9855344742,43127.911810984464,0.0,0.0,0.0,0.9032861241051129,0.42903866725408635,8.33333333333333
89634.62178158353,43128.35802489266,0.0,0.0,0.0,0.9005907900622043,0.43466795241325834,8.33333333333333
89634.26622208266,43128.80547846291,0.0,0.0,0.0,0.8997684648796912,0.4363676312560821,8.33333333333333
89633.91497099384,43129.2509535931,0.0,0.0,0.0,0.8996173570614338,0.43667907079891155,8.33333333333333
89633.56631374164,43129.6937692777,0.0,0.0,0.0,0.8996046711181205,0.4367052045745027,8.33333333333333
89633.2194908502,43130.134307871915,0.0,0.0,0.0,0.8996046711149976,0.4367052045809357,8.33333333333333
89632.87396645441,43130.573197101396,0.0,0.0,0.0,0.8996046711122041,0.4367052045866904,8.33333333333333
89632.52920737561,43131.011114216075,0.0,0.0,0.0,0.8996046711171003,0.4367052045766043,8.33333333333333
89632.18472045449,43131.44868563279,0.0,0.0,0.0,0.8996046711132866,0.4367052045844605,8.33333333333333
89631.84014906484,43131.88636434246,0.0,0.0,0.0,0.8996046711194859,0.43670520457168993,8.33333333333333
89631.4953135335,43132.32437856805,0.0,0.0,0.0,0.8996046711117119,0.4367052045877041,8.33333333333333
89631.15016963948,43132.76278447963,0.0,0.0,0.0,0.8996046711114561,0.43670520458823103,8.33333333333333
89630.80475409821,43133.20153544082,0.0,0.0,0.0,0.8996046711195639,0.43670520457152934,8.33333333333333
89630.45917350825,43133.64049604879,0.0,0.0,0.0,0.899604671113497,0.43670520458402706,8.33333333333333
89630.11315732998,43134.08000994629,0.0,0.0,0.0,0.8996046711146845,0.4367052045815809,8.33333333333333
89629.74268667387,43134.550586214675,0.0,0.0,0.0,0.8996046711167753,0.43670520457727363,8.33333333333333
89629.37216143336,43135.021231816805,0.0,0.0,0.0,0.8996046711139577,0.43670520458307804,8.33333333333333
89629.00158749039,43135.491939281404,0.0,0.0,0.0,0.8996046711172622,0.4367052045762709,8.33333333333333
89628.63097029428,43135.96270168664,0.0,0.0,0.0,0.8996046711162735,0.43670520457830736,8.33333333333333
89628.26031517317,43136.43351226467,0.0,0.0,0.0,0.8996046711147214,0.4367052045815048,8.33333333333333
89627.88962702709,43136.90436479143,0.0,0.0,0.0,0.8996046711124605,0.4367052045861622,8.33333333333333
89627.5189104852,43137.37525338689,0.0,0.0,0.0,0.89960467111531,0.43670520458029227,8.33333333333333
89627.14816985717,43137.84617257684,0.0,0.0,0.0,0.899604671116527,0.4367052045777854,8.33333333333333
89626.7774093611,43138.317117003426,0.0,0.0,0.0,0.8996046711147179,0.43670520458151196,8.33333333333333
89626.40663306507,43138.7880814993,0.0,0.0,0.0,0.8996046711138751,0.43670520458324824,8.33333333333333
89626.03584484517,43139.25906114101,0.0,0.0,0.0,0.899604671115405,0.43670520458009654,8.33333333333333
89625.66504844507,43139.73005117333,0.0,0.0,0.0,0.8996046711162023,0.43670520457845396,8.33333333333333
89625.29424748327,43140.20104699995,0.0,0.0,0.0,0.8996046711162029,0.43670520457845297,8.33333333333333
89624.92344572861,43140.67204383368,0.0,0.0,0.0,0.8996046711139286,0.43670520458313794,8.33333333333333
89624.55264683739,43141.14303703024,0.0,0.0,0.0,0.8996046711164464,0.43670520457795137,8.33333333333333
89624.18185446417,43141.61402194754,0.0,0.0,0.0,0.8996046711120221,0.4367052045870653,8.33333333333333
89623.81107143077,43142.08499500132,0.0,0.0,0.0,0.8996046711196816,0.43670520457128686,8.33333333333333
89623.44030004399,43142.555953261384,0.0,0.0,0.0,0.8996046711131122,0.4367052045848199,8.33333333333333
89623.06954251348,43143.02689392109,0.0,0.0,0.0,0.8996046711159345,0.43670520457900586,8.33333333333333
89622.69880110973,43143.497814096365,0.0,0.0,0.0,0.8996046711153189,0.4367052045802739,8.33333333333333
89622.32807822972,43143.96871074256,0.0,0.0,0.0,0.899604671114368,0.43670520458223266,8.33333333333333
89621.95737633797,43144.43958072923,0.0,0.0,0.0,0.8996046711155277,0.43670520457984385,8.33333333333333
89621.58669795695,43144.910420852284,0.0,0.0,0.0,0.899604671113151,0.43670520458473977,8.33333333333333
89621.21604572251,43145.38122776365,0.0,0.0,0.0,0.8996046711173145,0.4367052045761632,8.33333333333333
89620.845422501,43145.85199782242,0.0,0.0,0.0,0.8996046711139637,0.43670520458306566,8.33333333333333
89620.47483121265,43146.32272731934,0.0,0.0,0.0,0.8996046711166473,0.4367052045775375,8.33333333333333
89620.1042747797,43146.79341254248,0.0,0.0,0.0,0.8996046711130143,0.4367052045850212,8.33333333333333
89619.73375635197,43147.264049490965,0.0,0.0,0.0,0.8996046711147703,0.4367052045814041,8.33333333333333
89619.36327926475,43147.734633928216,0.0,0.0,0.0,0.8996046711173981,0.4367052045759908,8.33333333333333
89618.99284728905,43148.20516106428,0.0,0.0,0.0,0.8996046711153605,0.43670520458018824,8.33333333333333
89618.6224637611,43148.675626661425,0.0,0.0,0.0,0.899604671113444,0.43670520458413614,8.33333333333333
89618.25213247583,43149.14602589931,0.0,0.0,0.0,0.8996046711168985,0.43670520457702017,8.33333333333333
89617.88185740463,43149.616353733385,0.0,0.0,0.0,0.8996046711153863,0.43670520458013506,8.33333333333333
89617.51164280575,43150.086604754804,0.0,0.0,0.0,0.8996046711131107,0.43670520458482287,8.33333333333333
89617.14149332457,43150.556773062955,0.0,0.0,0.0,0.8996046711157512,0.4367052045793836,8.33333333333333
89616.77141705115,43151.02684838172,0.0,0.0,0.0,0.8996046711153689,0.43670520458017104,8.33333333333333
89616.40148332468,43151.49674263564,0.0,0.0,0.0,0.8996046711165615,0.4367052045777141,8.33333333333333
89616.03182020762,43151.966293158235,0.0,0.0,0.0,0.8996046711153031,0.43670520458030665,8.33333333333333
89615.66258803968,43152.4352962841,0.0,0.0,0.0,0.8996046711125573,0.43670520458596285,8.33333333333333
89615.29399213582,43152.90349121971,0.0,0.0,0.0,0.8996046711151666,0.43670520458058754,8.33333333333333
89614.92630118332,43153.37053667524,0.0,0.0,0.0,0.8996046711166834,0.4367052045774632,8.33333333333333
89614.55986217422,43153.83599189726,0.0,0.0,0.0,0.8996046711150604,0.43670520458080647,8.33333333333333
89614.19511612675,43154.29929669913,0.0,0.0,0.0,0.8996046711146288,0.43670520458169554,8.33333333333333
89613.832612516,43154.759753131,0.0,0.0,0.0,0.8374315610990528,0.5465422037456973,8.33333333333333
89613.590917366,43155.309313327,0.0,0.0,0.0,0.827068211754433,0.5621015683177947,8.33333333333333
89613.36993705,43155.867517631,0.0,0.0,0.0,0.8153525921080892,0.5789647230554034,8.33333333333333
89613.172063267,43156.434316539,0.0,0.0,0.0,0.802263106833777,0.5969706085004652,8.33333333333333
89612.999615071,43157.0093526,0.0,0.0,0.0,0.7784390973452286,0.6277201380586301,8.33333333333333
89612.87247688274,43157.595618083564,0.0,0.0,0.0,0.716692440632114,0.6973893787123402,8.33333333333333
89612.85713361879,43158.15751307632,0.0,0.0,0.0,0.6943303518764171,0.7196564197331743,8.33333333333333
89612.87686910608,43158.708265087116,0.0,0.0,0.0,0.6648869266656979,0.7469440238391648,8.33333333333333
89612.93953111533,43159.245508766624,0.0,0.0,0.0,0.6418265735812796,0.7668498219631497,8.33333333333333
89613.0337704096,43159.77223872501,0.0,0.0,0.0,0.6227502637627941,0.7824206726457134,8.33333333333333
89613.15231252692,43160.28711551694,0.0,0.0,0.0,0.6003982921453477,0.7997011259145193,8.33333333333333
89613.29594755899,43160.78140933419,0.0,0.0,0.0,0.5728174966168175,0.8196829360000379,8.33333333333333
89613.46517291898,43161.243686006856,0.0,0.0,0.0,0.5396829843895313,0.8418683248349523,8.33333333333333
89613.65917733748,43161.66595004934,0.0,0.0,0.0,0.49951437076128485,0.8663056004684245,8.33333333333333
89613.8799832171,43162.04740858471,0.0,0.0,0.0,0.4535604454082868,0.8912255171173211,8.33333333333333
89614.13255878341,43162.394344340195,0.0,0.0,0.0,0.41080620785782795,0.9117226878747019,8.33333333333333
89614.4180214196,43162.717125767726,0.0,0.0,0.0,0.3803427474565915,0.9248456057403157,8.33333333333333
89614.729924738,43163.025885754876,0.0,0.0,0.0,0.34249131637919006,0.9395209940202771,8.33333333333333
89615.08078695735,43163.32089426223,0.0,0.0,0.0,0.3159481331235691,0.9487764632281576,8.33333333333333
89615.46306699024,43163.60725233331,0.0,0.0,0.0,0.277211758629096,0.9608088472103927,8.33333333333333
89615.89681668123,43163.880269363304,0.0,0.0,0.0,0.24444575965606935,0.9696629675233386,8.33333333333333
89616.38194932931,43164.141466333276,0.0,0.0,0.0,0.2247443751680939,0.9744177573455356,8.33333333333333
89616.90351705447,43164.39557807264,0.0,0.0,0.0,0.21306386625916848,0.9770382740172951,8.33333333333333
89617.4449691822,43164.64351909864,0.0,0.0,0.0,0.18417363871910247,0.9828937230448496,8.33333333333333
89617.99061617689,43164.85544559799,0.0,0.0,0.0,0.1654097049059008,0.986224938603229,8.33333333333333
89618.53165873728,43165.0421859889,0.0,0.0,0.0,0.12902058486965465,0.9916419155521272,8.33333333333333
89619.06378396129,43165.18303788273,0.0,0.0,0.0,0.07737264316437899,0.9970022437736826,8.33333333333333
89619.5841485922,43165.264293341104,0.0,0.0,0.0,0.013409257061489583,0.9999100918707936,8.33333333333333
89620.0921590964,43165.277921103836,0.0,0.0,0.0,-0.059214925528109835,0.9982452567353879,8.33333333333333
89620.58895216051,43165.21877443113,0.0,0.0,0.0,-0.1320488295501106,0.9912432126448311,8.33333333333333
89621.07659148169,43165.08650503069,0.0,0.0,0.0,-0.19341511363569655,0.9811170133155833,8.33333333333333
89621.55730988439,43164.88930582364,0.0,0.0,0.0,-0.23836559555418224,0.9711754953951938,8.33333333333333
89622.03229411412,43164.64119910836,0.0,0.0,0.0,-0.26964931076852244,0.9629585916341682,8.33333333333333
89622.50105740137,43164.35633446302,0.0,0.0,0.0,-0.29055542556250735,0.9568581633012232,8.33333333333333
89622.96293204137,43164.047341492,0.0,0.0,0.0,-0.30150960366459567,0.9534631397689259,8.33333333333333
89623.41980421636,43163.72628694594,0.0,0.0,0.0,-0.3318074216939736,0.9433471444324182,8.33333333333333
89623.85356675276,43163.37806818323,0.0,0.0,0.0,-0.36566681652829675,0.9307458188410308,8.33333333333333
89624.26527754942,43162.99551971127,0.0,0.0,0.0,-0.4068424555227253,0.913498339562935,8.33333333333333
89624.65131796274,43162.566578608494,0.0,0.0,0.0,-0.44026301442524113,0.8978688535243886,8.33333333333333
89625.01375963945,43162.0986250387,0.0,0.0,0.0,-0.46109125593129857,0.8873527222608255,8.33333333333333
89625.3579193528,43161.6086609878,0.0,0.0,0.0,-0.47447300094522227,0.880270055933993,8.33333333333333
89625.68780615287,43161.10740849831,0.0,0.0,0.0,-0.48440017356113435,0.8748465418883148,8.33333333333333
89626.00632966904,43160.59872460503,0.0,0.0,0.0,-0.490255615940925,0.87157870042721,8.33333333333333
89626.318057619,43160.085724382,0.0,0.0,0.0,-0.5052077036813302,0.8629977845516391,8.33333333333333
89626.611963003,43159.562199222,0.0,0.0,0.0,-0.5133906384942868,0.8581550281309482,8.33333333333333
89626.895860879,43159.033177918,0.0,0.0,0.0,-0.5207740994901319,0.8536945222386296,8.33333333333333
89627.170590319,43158.499337071,0.0,0.0,0.0,-0.5273689524462826,0.8496363857531707,8.33333333333333
89627.437020392,43157.961304142,0.0,0.0,0.0,-0.5331881591704969,0.8459966825705506,8.33333333333333
